Date,Start,Visitor,PTS,Home,PTS,OverTime,Winner,Date
18/10/16,8:00p,0,87,18,105,,18,1
18/10/16,10:30p,1,100,20,108,,20,1
18/10/17,7:00p,2,113,15,112,,2,2
18/10/17,7:00p,3,100,23,103,,23,2
18/10/17,7:00p,4,83,19,111,,19,2
18/10/17,7:00p,5,101,22,104,,22,2
18/10/17,7:30p,6,107,16,126,,16,2
18/10/17,7:30p,7,104,21,116,,21,2
18/10/17,8:00p,8,131,26,112,,8,2
18/10/17,8:30p,9,108,25,112,,25,2
18/10/17,10:00p,10,123,17,117,,10,2
18/10/17,10:30p,11,107,28,98,,11,2
18/10/17,10:30p,12,100,24,121,,24,2
18/10/18,8:00p,13,108,0,127,,0,3
18/10/18,8:00p,5,113,27,112,,5,3
18/10/18,10:30p,14,119,29,128,,29,3
18/10/19,7:00p,15,120,22,88,,15,4
18/10/19,7:30p,16,105,3,107,,3,4
18/10/19,8:00p,6,117,4,131,,4,4
18/10/19,8:00p,7,123,9,131,,9,4
18/10/19,8:00p,17,129,8,149,,8,4
18/10/19,8:00p,18,101,21,113,,21,4
18/10/19,8:30p,19,101,2,118,,2,4
18/10/19,10:30p,1,92,28,108,,28,4
18/10/19,10:30p,20,124,10,123,,20,4
18/10/20,7:00p,3,112,19,132,,19,5
18/10/20,7:00p,21,117,27,113,,21,5
18/10/20,7:30p,18,103,16,101,,18,5
18/10/20,7:30p,22,115,0,116,,0,5
18/10/20,8:00p,23,118,13,116,,23,5
18/10/20,8:00p,15,113,5,112,,15,5
18/10/20,8:30p,9,136,12,140,,12,5
18/10/20,9:00p,24,91,11,119,,11,5
18/10/20,10:00p,25,108,29,121,,29,5
18/10/20,10:30p,26,124,14,115,,26,5
18/10/21,6:00p,6,133,7,111,,6,6
18/10/21,7:00p,17,131,1,120,,17,6
18/10/21,8:00p,20,98,11,100,,11,6
18/10/21,9:00p,26,112,28,115,,28,6
18/10/22,7:30p,22,93,18,90,,22,7
18/10/22,7:30p,15,106,21,127,,21,7
18/10/22,8:00p,16,113,2,124,,2,7
18/10/22,8:00p,19,91,9,101,,9,7
18/10/22,8:30p,13,109,12,115,,12,7
18/10/22,9:00p,4,92,10,84,,4,7
18/10/22,10:00p,27,125,29,124,OT,27,7
18/10/22,10:30p,24,103,20,123,,20,7
18/10/22,10:30p,25,143,14,142,OT,25,7
18/10/23,7:00p,0,132,23,133,OT,23,8
18/10/23,8:00p,28,109,8,116,,8,8
18/10/23,9:00p,17,112,11,126,,11,8
18/10/24,7:00p,12,104,6,111,,6,9
18/10/24,7:00p,3,102,7,86,,3,9
18/10/24,7:30p,16,87,5,110,,5,9
18/10/24,7:30p,9,105,21,112,,21,9
18/10/24,8:00p,15,110,13,112,,13,9
18/10/24,8:00p,10,100,26,89,,10,9
18/10/24,8:30p,19,116,25,96,,19,9
18/10/24,9:30p,0,108,2,123,,2,9
18/10/24,10:00p,14,131,24,113,,14,9
18/10/24,10:00p,4,92,17,97,,17,9
18/10/24,10:30p,27,122,20,144,,20,9
18/10/25,7:00p,7,103,23,110,,23,10
18/10/25,7:00p,29,128,22,114,,29,10
18/10/25,8:00p,18,101,1,95,,18,10
18/10/25,10:30p,11,114,14,121,,14,10
18/10/26,7:00p,13,106,15,135,,15,11
18/10/26,7:30p,20,128,16,100,,20,11
18/10/26,7:30p,12,107,21,116,,21,11
18/10/26,8:00p,28,133,26,113,,28,11
18/10/26,8:00p,2,125,9,95,,2,11
18/10/26,8:00p,3,115,8,117,,8,11
18/10/26,10:00p,27,112,17,116,,17,11
18/10/27,7:00p,18,109,23,89,,18,12
18/10/27,7:00p,10,132,8,111,,10,12
18/10/27,7:30p,13,97,6,85,,13,12
18/10/27,7:30p,19,119,7,107,,19,12
18/10/27,7:30p,15,103,0,105,,0,12
18/10/27,8:00p,24,96,4,117,,4,12
18/10/27,8:00p,29,111,5,120,,5,12
18/10/27,8:30p,22,91,2,113,,2,12
18/10/27,8:30p,14,106,25,110,,25,12
18/10/28,5:00p,20,120,3,114,,20,13
18/10/28,7:00p,10,113,12,104,,10,13
18/10/28,7:00p,24,110,1,117,,1,13
18/10/28,9:30p,27,104,28,136,,28,13
18/10/29,7:00p,29,103,19,93,,29,14
18/10/29,7:00p,6,92,0,113,,0,14
18/10/29,7:30p,17,123,5,113,,17,14
18/10/29,7:30p,3,96,16,115,,16,14
18/10/29,8:00p,20,149,13,124,,20,14
18/10/29,8:00p,21,109,2,124,,2,14
18/10/29,8:00p,14,120,9,124,,9,14
18/10/29,8:30p,12,108,25,113,OT,25,14
18/10/29,9:00p,8,111,11,116,,11,14
18/10/30,7:00p,5,113,15,125,,15,15
18/10/30,7:00p,6,114,7,136,,7,15
18/10/30,7:00p,17,107,22,99,,17,15
18/10/30,7:30p,23,105,18,108,,18,15
18/10/30,7:30p,0,112,21,129,,21,15
18/10/30,8:00p,29,104,26,85,,29,15
18/10/30,8:00p,27,95,4,107,,4,15
18/10/30,8:00p,28,110,1,128,,1,15
18/10/31,7:30p,23,119,3,120,OT,3,16
18/10/31,8:00p,11,108,13,107,OT,11,16
18/10/31,8:00p,10,125,9,128,,9,16
18/10/31,8:00p,19,107,16,101,,19,16
18/10/31,10:30p,8,121,20,131,,20,16
18/10/31,10:30p,12,113,14,114,,14,16
18/10/31,10:30p,25,120,24,90,,25,16
18/11/1,7:00p,1,111,15,107,,1,17
18/11/1,7:00p,11,110,7,91,,11,17
18/11/1,7:00p,28,113,0,122,,0,17
18/11/1,7:30p,17,146,6,115,,17,17
18/11/1,8:00p,2,113,18,117,,18,17
18/11/1,10:30p,8,119,29,132,,29,17
18/11/2,7:00p,28,120,22,95,,28,18
18/11/2,7:30p,26,119,3,111,,26,18
18/11/2,8:00p,19,107,13,105,,19,18
18/11/2,8:00p,1,134,27,111,,1,18
18/11/2,8:30p,16,118,12,106,,16,18
18/11/2,9:00p,4,110,10,100,,4,18
18/11/2,10:00p,21,107,24,98,,21,18
18/11/2,10:30p,9,99,20,116,,20,18
18/11/3,1:00p,23,99,0,109,,0,19
18/11/3,7:00p,7,94,15,126,,15,19
18/11/3,7:00p,18,101,19,102,,19,19
18/11/3,7:30p,5,118,6,123,,6,19
18/11/3,8:00p,26,96,13,88,,26,19
18/11/3,8:30p,8,95,25,109,,25,19
18/11/3,9:00p,10,88,11,103,,11,19
18/11/3,10:00p,14,114,29,110,,14,19
18/11/4,3:30p,17,109,2,144,,2,20
18/11/4,6:00p,0,97,3,122,,3,20
18/11/4,6:00p,16,95,27,108,,27,20
18/11/4,7:00p,22,117,25,110,,22,20
18/11/4,8:00p,4,100,24,102,,24,20
18/11/4,9:00p,9,81,29,111,,29,20
18/11/4,9:30p,21,121,14,107,,21,20
18/11/5,7:00p,5,120,23,115,OT,5,21
18/11/5,7:00p,26,98,19,94,,26,21
18/11/5,7:00p,7,100,22,102,,22,21
18/11/5,7:30p,13,116,16,115,2OT,13,21
18/11/5,8:00p,8,116,1,122,,1,21
18/11/5,9:00p,18,107,11,115,,11,21
18/11/5,9:00p,21,124,10,111,,21,21
18/11/5,10:30p,4,101,20,117,,20,21
18/11/5,10:30p,9,109,28,120,,28,21
18/11/6,7:00p,6,102,15,113,,15,22
18/11/6,8:30p,27,100,12,119,,12,22
18/11/6,9:00p,3,104,24,82,,3,22
18/11/6,10:00p,2,103,29,118,,29,22
18/11/7,7:00p,1,95,7,86,,1,23
18/11/7,7:00p,23,103,22,96,,23,23
18/11/7,7:30p,16,112,6,107,,16,23
18/11/7,7:30p,25,88,5,95,,5,23
18/11/7,8:00p,0,100,19,94,,0,23
18/11/7,8:00p,11,87,4,89,,4,23
18/11/7,8:00p,13,98,8,107,,8,23
18/11/7,9:00p,12,102,10,117,,10,23
18/11/7,10:00p,21,114,17,105,,21,23
18/11/7,10:30p,9,110,14,114,,14,23
18/11/8,8:00p,26,80,1,98,,1,24
18/11/8,9:00p,18,116,24,109,OT,18,24
18/11/8,10:00p,28,105,29,116,,29,24
18/11/8,10:30p,2,134,20,111,,2,24
18/11/9,7:00p,27,108,22,117,,22,25
18/11/9,7:00p,15,132,0,133,OT,0,25
18/11/9,7:30p,23,124,6,109,,23,25
18/11/9,8:00p,19,110,5,102,,19,25
18/11/9,9:00p,3,112,11,110,,3,25
18/11/9,9:30p,18,115,10,123,,10,25
18/11/9,10:00p,9,110,17,121,,17,25
18/11/10,3:00p,16,112,21,128,,21,26
18/11/10,3:30p,2,126,28,128,OT,28,26
18/11/10,7:00p,24,99,8,119,,8,26
18/11/10,8:00p,7,98,13,99,,13,26
18/11/10,8:00p,0,106,4,112,OT,4,26
18/11/10,8:00p,27,116,5,110,,27,26
18/11/10,8:30p,3,100,20,116,,20,26
18/11/10,8:30p,26,89,25,96,,25,26
18/11/10,9:00p,1,96,12,111,,12,26
18/11/10,10:00p,14,101,17,86,,14,26
18/11/11,3:30p,15,113,23,103,,15,27
18/11/11,7:00p,19,103,26,115,,26,27
18/11/11,7:30p,22,115,16,89,,22,27
18/11/11,8:00p,2,121,11,114,,2,27
18/11/11,9:00p,18,94,29,100,,29,27
18/11/11,9:30p,6,106,14,107,,14,27
18/11/12,7:00p,22,109,27,117,,27,28
18/11/12,7:30p,0,124,5,114,,0,28
18/11/12,7:30p,8,126,21,110,,8,28
18/11/12,8:00p,12,103,13,98,,12,28
18/11/12,8:00p,10,96,4,88,,10,28
18/11/12,8:00p,3,113,9,120,,9,28
18/11/12,8:00p,24,101,1,118,,1,28
18/11/12,10:00p,25,99,17,104,,17,28
18/11/12,10:30p,20,116,28,121,OT,28,28
18/11/13,7:00p,15,89,7,113,,7,29
18/11/13,9:00p,26,109,11,99,,26,29
18/11/13,10:30p,6,103,20,110,,20,29
18/11/14,7:00p,0,106,22,111,,22,30
18/11/14,7:00p,7,95,27,119,,27,30
18/11/14,7:30p,13,82,18,111,,18,30
18/11/14,7:30p,5,120,3,107,,5,30
18/11/14,7:30p,23,106,21,104,,23,30
18/11/14,8:00p,4,116,2,113,,4,30
18/11/14,8:00p,8,100,9,107,,9,30
18/11/14,8:00p,16,103,1,128,,1,30
18/11/14,8:30p,10,68,12,118,,12,30
18/11/14,9:00p,25,96,24,116,,24,30
18/11/14,10:30p,29,117,14,126,,14,30
18/11/15,8:00p,20,86,26,107,,26,31
18/11/15,9:00p,6,93,11,138,,11,31
18/11/15,10:30p,25,111,28,116,,28,31
18/11/16,7:00p,21,116,18,123,OT,18,32
18/11/16,7:00p,5,91,19,99,,19,32
18/11/16,7:00p,10,107,0,113,,0,32
18/11/16,7:00p,3,115,27,104,,3,32
18/11/16,8:00p,17,104,4,112,,4,32
18/11/16,8:00p,29,96,9,112,,9,32
18/11/16,8:00p,16,124,8,129,,8,32
18/11/16,9:30p,13,104,2,123,,2,32
18/11/17,6:00p,28,127,3,119,,28,33
