GroupNumber,TotalWinRate,HostWinRate,VisitorWinRate,DatesOfGames,PeriodsBetweenGames,AveragePeriodLength,B2BCounts,WinningList,HostingList
0,0.62195122,0.756097561,0.487804878,"['18/10/16', '18/10/18', '18/10/20', '18/10/23', '18/10/24', '18/10/27', '18/10/29', '18/10/30', '18/11/1', '18/11/3', '18/11/4', '18/11/7', '18/11/9', '18/11/10', '18/11/12', '18/11/14', '18/11/16', '18/11/17', '18/11/19', '18/11/21', '18/11/23', '18/11/25', '18/11/28', '18/11/30', '18/12/2', '18/12/5', '18/12/7', '18/12/10', '18/12/12', '18/12/14', '18/12/16', '18/12/17', '18/12/19', '18/12/22', '18/12/25', '18/12/27', '18/12/30', '19/1/1', '19/1/2', '19/1/5', '19/1/8', '19/1/9', '19/1/11', '19/1/13', '19/1/15', '19/1/17', '19/1/19', '19/1/21', '19/1/23', '19/1/26', '19/1/29', '19/1/31', '19/2/2', '19/2/5', '19/2/8', '19/2/10', '19/2/12', '19/2/13', '19/2/21', '19/2/23', '19/2/25', '19/2/28', '19/3/2', '19/3/5', '19/3/6', '19/3/8', '19/3/10', '19/3/12', '19/3/15', '19/3/17', '19/3/19', '19/3/20', '19/3/23', '19/3/25', '19/3/28', '19/3/30', '19/4/1', '19/4/3', '19/4/4', '19/4/6', '19/4/9', '19/4/10']","[0, 2, 2, 3, 1, 3, 2, 1, 2, 2, 1, 3, 2, 1, 2, 2, 2, 1, 2, 2, 2, 2, 3, 2, 2, 3, 2, 3, 2, 2, 2, 1, 2, 3, 3, 2, 3, 2, 1, 3, 3, 1, 2, 2, 2, 2, 2, 2, 2, 3, 3, 2, 2, 3, 3, 2, 2, 1, 8, 2, 2, 3, 2, 3, 1, 2, 2, 2, 3, 2, 2, 1, 3, 2, 3, 2, 2, 2, 1, 2, 3, 1]",2.146341463,20,"[False, True, True, False, False, True, True, False, True, True, False, True, True, False, True, False, True, True, True, True, False, True, True, True, True, False, True, True, False, False, True, False, True, True, False, True, False, True, True, True, True, False, False, True, True, True, False, True, True, False, True, True, False, False, True, True, False, True, True, False, True, True, False, True, False, False, True, True, True, True, True, True, False, False, True, True, False, False, False, True, False, True]","[False, True, True, False, False, True, True, False, True, True, False, False, True, False, False, False, True, False, True, True, True, False, True, True, True, False, False, True, True, True, False, False, True, True, False, False, False, False, False, True, True, False, True, False, True, False, True, True, True, False, False, False, False, True, True, True, True, False, True, True, False, False, True, True, False, False, True, True, True, False, False, True, False, False, True, False, False, False, True, False, False, True]"
1,0.597560976,0.658536585,0.536585366,"['18/10/16', '18/10/19', '18/10/21', '18/10/25', '18/10/28', '18/10/30', '18/11/1', '18/11/2', '18/11/5', '18/11/7', '18/11/8', '18/11/10', '18/11/12', '18/11/14', '18/11/17', '18/11/19', '18/11/21', '18/11/23', '18/11/24', '18/11/28', '18/11/30', '18/12/3', '18/12/5', '18/12/7', '18/12/10', '18/12/12', '18/12/14', '18/12/15', '18/12/17', '18/12/19', '18/12/22', '18/12/23', '18/12/25', '18/12/28', '18/12/30', '18/12/31', '19/1/2', '19/1/4', '19/1/6', '19/1/8', '19/1/10', '19/1/12', '19/1/15', '19/1/17', '19/1/19', '19/1/21', '19/1/22', '19/1/24', '19/1/27', '19/1/29', '19/2/1', '19/2/3', '19/2/5', '19/2/7', '19/2/9', '19/2/11', '19/2/14', '19/2/22', '19/2/23', '19/2/26', '19/2/28', '19/3/2', '19/3/3', '19/3/5', '19/3/7', '19/3/8', '19/3/11', '19/3/13', '19/3/14', '19/3/16', '19/3/18', '19/3/20', '19/3/22', '19/3/25', '19/3/27', '19/3/29', '19/3/31', '19/4/2', '19/4/5', '19/4/7', '19/4/9', '19/4/10']","[0, 3, 2, 4, 3, 2, 2, 1, 3, 2, 1, 2, 2, 2, 3, 2, 2, 2, 1, 4, 2, 3, 2, 2, 3, 2, 2, 1, 2, 2, 3, 1, 2, 3, 2, 1, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 1, 2, 3, 2, 3, 2, 2, 2, 2, 2, 3, 8, 1, 3, 2, 2, 1, 2, 2, 1, 3, 2, 1, 2, 2, 2, 2, 3, 2, 2, 2, 2, 3, 2, 2, 1]",2.146341463,18,"[False, False, False, False, True, True, True, True, True, True, True, False, True, True, True, False, True, True, False, True, True, True, True, False, True, False, False, True, True, True, True, False, False, True, False, True, True, True, False, False, False, True, False, False, True, True, True, True, True, True, True, False, True, True, True, True, False, True, False, False, False, False, True, False, True, False, True, True, False, False, False, False, True, False, True, False, False, True, True, True, True, True]","[False, False, True, True, True, True, False, False, True, False, True, False, True, True, False, False, False, True, True, True, True, False, False, False, True, False, False, True, True, False, False, True, False, False, False, True, False, False, True, True, False, True, False, True, False, False, True, True, True, False, False, False, True, True, False, True, False, True, True, False, True, False, True, False, False, False, False, True, False, True, True, True, False, False, True, True, True, True, True, False, True, False]"
2,0.731707317,0.804878049,0.658536585,"['18/10/17', '18/10/19', '18/10/22', '18/10/24', '18/10/26', '18/10/27', '18/10/29', '18/11/1', '18/11/4', '18/11/6', '18/11/8', '18/11/10', '18/11/11', '18/11/14', '18/11/16', '18/11/19', '18/11/21', '18/11/23', '18/11/24', '18/11/26', '18/11/28', '18/12/1', '18/12/5', '18/12/7', '18/12/9', '18/12/10', '18/12/12', '18/12/14', '18/12/17', '18/12/19', '18/12/21', '18/12/22', '18/12/25', '18/12/27', '18/12/29', '19/1/1', '19/1/4', '19/1/5', '19/1/7', '19/1/9', '19/1/11', '19/1/13', '19/1/15', '19/1/16', '19/1/19', '19/1/21', '19/1/25', '19/1/27', '19/1/29', '19/1/31', '19/2/2', '19/2/4', '19/2/6', '19/2/8', '19/2/9', '19/2/11', '19/2/13', '19/2/21', '19/2/23', '19/2/25', '19/2/27', '19/3/1', '19/3/2', '19/3/4', '19/3/7', '19/3/9', '19/3/10', '19/3/12', '19/3/15', '19/3/17', '19/3/19', '19/3/20', '19/3/22', '19/3/24', '19/3/26', '19/3/28', '19/3/31', '19/4/1', '19/4/4', '19/4/6', '19/4/7', '19/4/10']","[0, 2, 3, 2, 2, 1, 2, 3, 3, 2, 2, 2, 1, 3, 2, 3, 2, 2, 1, 2, 2, 3, 4, 2, 2, 1, 2, 2, 3, 2, 2, 1, 3, 2, 2, 3, 3, 1, 2, 2, 2, 2, 2, 1, 3, 2, 4, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 8, 2, 2, 2, 2, 1, 2, 3, 2, 1, 2, 3, 2, 2, 1, 2, 2, 2, 2, 3, 1, 3, 2, 1, 3]",2.134146341,23,"[True, True, True, True, True, True, True, False, True, False, True, False, True, False, True, True, True, False, True, False, True, False, True, False, True, True, False, True, True, True, True, False, True, True, True, True, True, False, True, True, False, True, True, True, True, True, True, False, True, True, True, True, True, True, False, True, True, True, True, True, True, True, False, False, True, True, False, True, True, False, True, False, True, True, True, True, False, True, True, False, True, False]","[False, True, True, True, False, True, True, False, True, False, False, False, False, True, True, True, True, True, True, False, True, False, True, True, False, True, False, False, False, True, False, False, False, True, True, True, True, True, True, False, False, False, True, False, False, True, True, False, False, False, False, False, True, False, True, False, False, True, True, False, False, False, False, False, True, True, False, False, False, True, True, False, True, True, True, True, False, False, False, True, True, True]"
3,0.512195122,0.56097561,0.463414634,"['18/10/17', '18/10/19', '18/10/20', '18/10/24', '18/10/26', '18/10/28', '18/10/29', '18/10/31', '18/11/2', '18/11/4', '18/11/6', '18/11/9', '18/11/10', '18/11/12', '18/11/14', '18/11/16', '18/11/17', '18/11/20', '18/11/21', '18/11/23', '18/11/25', '18/11/28', '18/11/30', '18/12/1', '18/12/3', '18/12/5', '18/12/7', '18/12/8', '18/12/12', '18/12/14', '18/12/16', '18/12/18', '18/12/19', '18/12/21', '18/12/23', '18/12/26', '18/12/28', '18/12/29', '19/1/2', '19/1/4', '19/1/6', '19/1/7', '19/1/9', '19/1/11', '19/1/14', '19/1/16', '19/1/18', '19/1/21', '19/1/23', '19/1/25', '19/1/28', '19/1/29', '19/1/31', '19/2/2', '19/2/4', '19/2/6', '19/2/8', '19/2/11', '19/2/13', '19/2/21', '19/2/23', '19/2/25', '19/2/27', '19/3/1', '19/3/2', '19/3/4', '19/3/6', '19/3/9', '19/3/11', '19/3/13', '19/3/16', '19/3/17', '19/3/19', '19/3/22', '19/3/25', '19/3/28', '19/3/30', '19/4/1', '19/4/3', '19/4/6', '19/4/7', '19/4/10']","[0, 2, 1, 4, 2, 2, 1, 2, 2, 2, 2, 3, 1, 2, 2, 2, 1, 3, 1, 2, 2, 3, 2, 1, 2, 2, 2, 1, 4, 2, 2, 2, 1, 2, 2, 3, 2, 1, 4, 2, 2, 1, 2, 2, 3, 2, 2, 3, 2, 2, 3, 1, 2, 2, 2, 2, 2, 3, 2, 8, 2, 2, 2, 2, 1, 2, 2, 3, 2, 2, 3, 1, 2, 3, 3, 3, 2, 2, 2, 3, 1, 3]",2.134146341,20,"[False, True, False, True, False, False, False, True, False, True, True, True, False, False, False, True, False, True, False, False, False, False, False, False, False, False, True, True, True, True, True, True, True, False, True, True, False, False, True, True, True, False, True, False, True, True, True, True, True, True, False, True, False, False, False, True, False, False, True, False, True, True, False, False, False, True, True, True, True, False, False, False, True, True, False, False, True, False, False, True, True, True]","[False, True, False, False, False, True, False, True, True, True, False, False, False, False, True, False, True, False, False, True, True, True, True, False, True, True, True, False, False, True, True, True, False, True, True, True, False, False, True, False, False, False, True, False, True, False, False, True, True, True, False, True, False, False, True, True, True, False, False, True, False, True, True, True, False, True, True, False, True, False, False, False, False, False, False, False, True, True, True, False, False, True]"
4,0.402439024,0.512195122,0.292682927,"['18/10/17', '18/10/19', '18/10/22', '18/10/24', '18/10/27', '18/10/30', '18/11/2', '18/11/4', '18/11/5', '18/11/7', '18/11/10', '18/11/12', '18/11/14', '18/11/16', '18/11/18', '18/11/19', '18/11/21', '18/11/23', '18/11/25', '18/11/27', '18/11/30', '18/12/2', '18/12/5', '18/12/7', '18/12/8', '18/12/10', '18/12/12', '18/12/14', '18/12/15', '18/12/17', '18/12/19', '18/12/21', '18/12/23', '18/12/26', '18/12/29', '18/12/31', '19/1/2', '19/1/4', '19/1/5', '19/1/7', '19/1/9', '19/1/12', '19/1/14', '19/1/16', '19/1/18', '19/1/19', '19/1/21', '19/1/23', '19/1/25', '19/1/26', '19/1/28', '19/1/30', '19/2/1', '19/2/3', '19/2/5', '19/2/7', '19/2/9', '19/2/12', '19/2/13', '19/2/22', '19/2/23', '19/2/25', '19/2/27', '19/3/2', '19/3/3', '19/3/5', '19/3/8', '19/3/10', '19/3/13', '19/3/16', '19/3/20', '19/3/22', '19/3/23', '19/3/25', '19/3/27', '19/3/30', '19/3/31', '19/4/3', '19/4/5', '19/4/7', '19/4/9', '19/4/10']","[0, 2, 3, 2, 3, 3, 3, 2, 1, 2, 3, 2, 2, 2, 2, 1, 2, 2, 2, 2, 3, 2, 3, 2, 1, 2, 2, 2, 1, 2, 2, 2, 2, 3, 3, 2, 2, 2, 1, 2, 2, 3, 2, 2, 2, 1, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 3, 1, 9, 1, 2, 2, 3, 1, 2, 3, 2, 3, 3, 4, 2, 1, 2, 2, 3, 1, 3, 2, 2, 2, 1]",2.134146341,18,"[False, True, True, False, True, True, True, False, False, True, True, False, True, True, True, True, True, False, False, False, True, False, True, True, False, False, True, False, False, False, False, False, True, True, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, True, False, False, False, True, True, False, True, False, False, False, False, True, False, True, False, True, True, True, False, False, True, False, False, True, False, True, False, False, True, False, False, True]","[False, True, False, False, True, True, False, False, False, True, True, True, False, True, False, True, False, False, True, True, False, False, True, False, True, False, True, True, True, False, False, False, False, True, True, False, True, True, False, False, True, False, False, True, False, False, True, True, True, True, True, False, False, False, True, False, True, True, False, True, False, True, True, False, False, True, True, True, False, False, True, False, True, True, True, False, False, False, False, True, False, True]"
5,0.475609756,0.463414634,0.487804878,"['18/10/17', '18/10/18', '18/10/20', '18/10/24', '18/10/27', '18/10/29', '18/10/30', '18/11/3', '18/11/5', '18/11/7', '18/11/9', '18/11/10', '18/11/12', '18/11/14', '18/11/16', '18/11/18', '18/11/20', '18/11/23', '18/11/25', '18/11/27', '18/11/30', '18/12/2', '18/12/4', '18/12/7', '18/12/8', '18/12/10', '18/12/12', '18/12/14', '18/12/16', '18/12/20', '18/12/22', '18/12/23', '18/12/26', '18/12/28', '18/12/30', '19/1/2', '19/1/4', '19/1/6', '19/1/8', '19/1/10', '19/1/12', '19/1/15', '19/1/18', '19/1/19', '19/1/21', '19/1/23', '19/1/25', '19/1/27', '19/1/30', '19/2/1', '19/2/2', '19/2/5', '19/2/8', '19/2/10', '19/2/11', '19/2/13', '19/2/21', '19/2/23', '19/2/25', '19/2/27', '19/2/28', '19/3/2', '19/3/4', '19/3/6', '19/3/8', '19/3/10', '19/3/13', '19/3/15', '19/3/17', '19/3/18', '19/3/20', '19/3/22', '19/3/23', '19/3/26', '19/3/28', '19/3/30', '19/4/1', '19/4/3', '19/4/5', '19/4/7', '19/4/9', '19/4/10']","[0, 1, 2, 4, 3, 2, 1, 4, 2, 2, 2, 1, 2, 2, 2, 2, 2, 3, 2, 2, 3, 2, 2, 3, 1, 2, 2, 2, 2, 4, 2, 1, 3, 2, 2, 3, 2, 2, 2, 2, 2, 3, 3, 1, 2, 2, 2, 2, 3, 2, 1, 3, 3, 2, 1, 2, 8, 2, 2, 2, 1, 2, 2, 2, 2, 2, 3, 2, 2, 1, 2, 2, 1, 3, 2, 2, 2, 2, 2, 2, 2, 1]",2.134146341,24,"[False, True, False, True, True, False, False, False, True, True, False, False, False, True, False, False, False, True, False, False, True, True, False, True, True, False, False, True, True, True, True, True, False, True, False, True, True, False, False, True, True, False, False, True, False, False, True, True, False, False, False, True, False, False, False, True, False, False, False, True, False, True, True, True, True, False, True, False, True, True, True, False, True, False, True, True, False, False, False, False, True, False]","[False, False, True, True, True, True, False, False, False, True, True, True, True, False, False, True, True, False, False, True, True, True, True, False, False, False, False, False, False, True, True, False, True, True, True, False, True, False, True, True, True, False, False, False, False, True, False, False, True, True, True, False, False, False, False, False, False, True, True, True, False, True, True, False, True, True, True, True, True, False, False, False, False, True, True, False, False, True, False, False, True, False]"
6,0.353658537,0.414634146,0.292682927,"['18/10/17', '18/10/19', '18/10/21', '18/10/24', '18/10/27', '18/10/29', '18/10/30', '18/11/1', '18/11/3', '18/11/6', '18/11/7', '18/11/9', '18/11/11', '18/11/13', '18/11/15', '18/11/17', '18/11/19', '18/11/21', '18/11/23', '18/11/25', '18/11/27', '18/11/28', '18/11/30', '18/12/3', '18/12/5', '18/12/8', '18/12/12', '18/12/14', '18/12/16', '18/12/18', '18/12/21', '18/12/23', '18/12/26', '18/12/28', '18/12/29', '18/12/31', '19/1/2', '19/1/4', '19/1/6', '19/1/8', '19/1/9', '19/1/11', '19/1/13', '19/1/15', '19/1/19', '19/1/21', '19/1/23', '19/1/26', '19/1/28', '19/1/30', '19/2/1', '19/2/2', '19/2/4', '19/2/7', '19/2/9', '19/2/10', '19/2/12', '19/2/14', '19/2/22', '19/2/23', '19/2/25', '19/2/27', '19/3/1', '19/3/3', '19/3/4', '19/3/6', '19/3/9', '19/3/10', '19/3/13', '19/3/16', '19/3/17', '19/3/19', '19/3/21', '19/3/23', '19/3/26', '19/3/29', '19/3/31', '19/4/2', '19/4/3', '19/4/5', '19/4/7', '19/4/10']","[0, 2, 2, 3, 3, 2, 1, 2, 2, 3, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 3, 2, 3, 4, 2, 2, 2, 3, 2, 3, 2, 1, 2, 2, 2, 2, 2, 1, 2, 2, 2, 4, 2, 2, 3, 2, 2, 2, 1, 2, 3, 2, 1, 2, 2, 8, 1, 2, 2, 2, 2, 1, 2, 3, 1, 3, 3, 1, 2, 2, 2, 3, 3, 2, 2, 1, 2, 2, 3]",2.134146341,24,"[False, False, True, True, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, True, False, False, False, True, True, True, False, True, True, False, False, False, True, False, False, True, False, True, False, False, True, False, True, False, False, True, True, False, False, False, True, False, False, True, False, True, False, True, False, False, False, True, True, False, False, False, True, True, True, False, True, False, True, False, False, False]","[False, False, False, True, True, False, False, True, True, False, True, True, False, False, False, False, True, True, True, True, False, False, False, True, True, True, False, False, False, True, False, False, True, False, True, False, False, False, True, False, False, False, True, True, True, True, False, False, False, False, False, False, False, True, True, True, True, True, True, True, False, True, True, False, False, True, True, True, True, False, False, True, True, True, False, True, True, False, True, False, False, True]"
7,0.231707317,0.317073171,0.146341463,"['18/10/17', '18/10/19', '18/10/21', '18/10/24', '18/10/25', '18/10/27', '18/10/30', '18/11/1', '18/11/3', '18/11/5', '18/11/7', '18/11/10', '18/11/13', '18/11/14', '18/11/19', '18/11/21', '18/11/23', '18/11/24', '18/11/26', '18/11/28', '18/11/30', '18/12/1', '18/12/3', '18/12/5', '18/12/7', '18/12/8', '18/12/10', '18/12/12', '18/12/14', '18/12/16', '18/12/18', '18/12/19', '18/12/21', '18/12/23', '18/12/26', '18/12/28', '18/12/29', '19/1/2', '19/1/4', '19/1/5', '19/1/8', '19/1/9', '19/1/11', '19/1/13', '19/1/16', '19/1/18', '19/1/19', '19/1/21', '19/1/23', '19/1/25', '19/1/27', '19/1/29', '19/2/2', '19/2/5', '19/2/8', '19/2/9', '19/2/11', '19/2/13', '19/2/21', '19/2/23', '19/2/25', '19/2/28', '19/3/2', '19/3/3', '19/3/6', '19/3/8', '19/3/11', '19/3/12', '19/3/14', '19/3/16', '19/3/18', '19/3/20', '19/3/22', '19/3/24', '19/3/26', '19/3/28', '19/3/30', '19/4/1', '19/4/4', '19/4/5', '19/4/7', '19/4/9']","[0, 2, 2, 3, 1, 2, 3, 2, 2, 2, 2, 3, 3, 1, 5, 2, 2, 1, 2, 2, 2, 1, 2, 2, 2, 1, 2, 2, 2, 2, 2, 1, 2, 2, 3, 2, 1, 4, 2, 1, 3, 1, 2, 2, 3, 2, 1, 2, 2, 2, 2, 2, 4, 3, 3, 1, 2, 2, 8, 2, 2, 3, 2, 1, 3, 2, 3, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 1, 2, 2]",2.12195122,21,"[False, False, False, False, False, False, True, False, False, False, False, False, True, False, False, False, True, True, False, False, False, False, True, False, False, True, False, True, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, True, True, False, False, False, False, True, False, True, True, False, True, False, True, False, False, True, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False]","[False, False, True, True, False, True, True, True, False, False, True, False, True, False, False, True, False, True, True, False, False, True, False, True, True, True, False, True, True, True, False, False, False, True, False, False, False, True, True, True, True, False, False, False, False, False, False, True, False, True, False, True, True, True, False, False, True, True, True, True, True, False, True, True, False, False, True, False, False, False, True, True, True, False, True, False, False, False, False, False, True, True]"
8,0.402439024,0.463414634,0.341463415,"['18/10/17', '18/10/19', '18/10/23', '18/10/26', '18/10/27', '18/10/29', '18/10/31', '18/11/1', '18/11/3', '18/11/5', '18/11/7', '18/11/10', '18/11/12', '18/11/14', '18/11/16', '18/11/17', '18/11/19', '18/11/21', '18/11/23', '18/11/24', '18/11/26', '18/11/28', '18/11/30', '18/12/2', '18/12/3', '18/12/5', '18/12/7', '18/12/9', '18/12/10', '18/12/12', '18/12/16', '18/12/19', '18/12/21', '18/12/23', '18/12/26', '18/12/28', '18/12/29', '18/12/31', '19/1/2', '19/1/5', '19/1/7', '19/1/9', '19/1/12', '19/1/14', '19/1/16', '19/1/18', '19/1/21', '19/1/23', '19/1/24', '19/1/26', '19/1/29', '19/1/30', '19/2/2', '19/2/4', '19/2/6', '19/2/8', '19/2/9', '19/2/12', '19/2/14', '19/2/22', '19/2/23', '19/2/25', '19/2/27', '19/3/1', '19/3/2', '19/3/4', '19/3/6', '19/3/8', '19/3/10', '19/3/12', '19/3/15', '19/3/16', '19/3/18', '19/3/20', '19/3/24', '19/3/26', '19/3/28', '19/3/31', '19/4/3', '19/4/5', '19/4/7', '19/4/9']","[0, 2, 4, 3, 1, 2, 2, 1, 2, 2, 2, 3, 2, 2, 2, 1, 2, 2, 2, 1, 2, 2, 2, 2, 1, 2, 2, 2, 1, 2, 4, 3, 2, 2, 3, 2, 1, 2, 2, 3, 2, 2, 3, 2, 2, 2, 3, 2, 1, 2, 3, 1, 3, 2, 2, 2, 1, 3, 2, 8, 1, 2, 2, 2, 1, 2, 2, 2, 2, 2, 3, 1, 2, 2, 4, 2, 2, 3, 3, 2, 2, 2]",2.12195122,22,"[True, True, True, True, False, False, False, False, False, False, True, True, True, False, True, True, True, False, False, False, False, True, False, True, False, True, False, True, False, True, False, False, False, False, False, True, False, True, False, True, True, True, False, True, False, False, True, False, False, False, True, False, False, False, True, True, False, False, True, False, True, False, False, True, True, True, False, False, False, False, False, False, True, False, False, False, True, False, False, False, True, False]","[False, True, True, True, True, False, False, False, False, False, True, True, False, False, True, True, True, False, False, False, True, True, False, False, True, True, True, False, False, True, True, False, False, False, False, True, True, True, False, False, True, True, False, False, False, False, False, True, False, True, False, True, False, True, False, True, False, True, True, False, True, True, False, False, False, False, True, True, False, True, True, True, False, False, True, True, True, True, True, False, False, True]"
9,0.43902439,0.609756098,0.268292683,"['18/10/17', '18/10/19', '18/10/20', '18/10/22', '18/10/24', '18/10/26', '18/10/29', '18/10/31', '18/11/2', '18/11/4', '18/11/5', '18/11/7', '18/11/9', '18/11/12', '18/11/14', '18/11/16', '18/11/18', '18/11/21', '18/11/23', '18/11/24', '18/11/26', '18/11/28', '18/12/1', '18/12/3', '18/12/5', '18/12/8', '18/12/10', '18/12/12', '18/12/15', '18/12/17', '18/12/19', '18/12/21', '18/12/23', '18/12/26', '18/12/28', '18/12/30', '18/12/31', '19/1/2', '19/1/4', '19/1/6', '19/1/8', '19/1/11', '19/1/12', '19/1/15', '19/1/18', '19/1/20', '19/1/22', '19/1/24', '19/1/25', '19/1/27', '19/1/30', '19/2/2', '19/2/5', '19/2/7', '19/2/8', '19/2/11', '19/2/13', '19/2/22', '19/2/23', '19/2/25', '19/2/27', '19/2/28', '19/3/3', '19/3/5', '19/3/6', '19/3/9', '19/3/10', '19/3/12', '19/3/14', '19/3/17', '19/3/19', '19/3/21', '19/3/23', '19/3/26', '19/3/29', '19/3/30', '19/4/1', '19/4/3', '19/4/5', '19/4/7', '19/4/9', '19/4/10']","[0, 2, 1, 2, 2, 2, 3, 2, 2, 2, 1, 2, 2, 3, 2, 2, 2, 3, 2, 1, 2, 2, 3, 2, 2, 3, 2, 2, 3, 2, 2, 2, 2, 3, 2, 2, 1, 2, 2, 2, 2, 3, 1, 3, 3, 2, 2, 2, 1, 2, 3, 3, 3, 2, 1, 3, 2, 9, 1, 2, 2, 1, 3, 2, 1, 3, 1, 2, 2, 3, 2, 2, 2, 3, 3, 1, 2, 2, 2, 2, 2, 1]",2.134146341,21,"[False, True, False, True, False, False, True, True, False, False, False, False, False, True, True, True, False, False, True, True, True, True, False, True, True, False, False, False, False, True, False, False, True, True, False, True, False, False, True, True, True, False, True, False, False, True, True, True, False, False, True, False, False, False, False, True, True, True, False, True, False, False, False, True, False, True, True, False, False, False, False, False, True, False, True, False, False, True, True, False, False, False]","[False, True, False, True, False, True, True, True, False, False, False, False, False, True, True, True, True, True, False, True, False, True, True, True, True, False, False, False, False, True, True, False, False, False, True, False, False, False, True, True, False, True, True, False, True, True, False, False, False, True, True, True, False, False, False, True, True, False, False, True, False, False, False, True, False, True, True, False, False, False, True, False, False, True, True, True, True, False, True, True, True, False]"
