GroupNumber,BothWinRate,LatterWinRate,1_AfterWinRate,1_AfterGameCount,2_AfterWinRate,2_AfterGameCount,3_AfterWinRate,3_AfterGameCount,4_AfterWinRate,4_AfterGameCount,5_AfterWinRate,5_AfterGameCount,6_AfterWinRate,6_AfterGameCount,7_AfterWinRate,7_AfterGameCount,8_AfterWinRate,8_AfterGameCount,9_AfterWinRate,9_AfterGameCount,10_AfterWinRate,10_AfterGameCount,B2BGameCount,VisitorWinRate,TotalWinRate
0,0.5,0.16666666666666666,1.0,3,1.0,6,0.6666666666666666,9,0.6666666666666666,12,0.6666666666666666,15,0.6666666666666666,18,0.7,20,0.6818181818181818,22,0.6666666666666666,24,0.6923076923076923,26,6,0.4878048780487805,0.4878048780487805
1,0.75,0.25,1.0,2,1.0,4,0.8333333333333334,6,0.625,8,0.6,10,0.5833333333333334,12,0.6428571428571429,14,0.5625,16,0.6111111111111112,18,0.6,20,4,0.5365853658536586,0.5365853658536586
2,0.5,0.25,0.5,4,0.625,8,0.75,12,0.6875,16,0.6842105263157895,19,0.6818181818181818,22,0.64,25,0.6785714285714286,28,0.6129032258064516,31,0.6470588235294118,34,8,0.6585365853658537,0.6585365853658537
3,0.4166666666666667,0.08333333333333333,0.6666666666666666,6,0.5454545454545454,11,0.5625,16,0.5,20,0.5416666666666666,24,0.5185185185185185,27,0.5,30,0.5454545454545454,33,0.5428571428571428,35,0.5675675675675675,37,12,0.4634146341463415,0.4634146341463415
4,0.25,0.0,0.5,4,0.625,8,0.5,12,0.5,16,0.5,20,0.5217391304347826,23,0.5,26,0.5172413793103449,29,0.53125,32,0.4857142857142857,35,8,0.2926829268292683,0.2926829268292683
5,0.5,0.4,0.2,5,0.3,10,0.4666666666666667,15,0.45,20,0.44,25,0.4,30,0.42857142857142855,35,0.475,40,0.4666666666666667,45,0.4489795918367347,49,10,0.4878048780487805,0.4878048780487805
6,0.25,0.08333333333333333,0.3333333333333333,6,0.3333333333333333,12,0.3888888888888889,18,0.4166666666666667,24,0.36666666666666664,30,0.37142857142857144,35,0.325,40,0.37777777777777777,45,0.36,50,0.36363636363636365,55,12,0.2926829268292683,0.2926829268292683
7,0.1,0.0,0.2,5,0.1,10,0.14285714285714285,14,0.2222222222222222,18,0.23809523809523808,21,0.25,24,0.25925925925925924,27,0.26666666666666666,30,0.25,32,0.24242424242424243,33,10,0.14634146341463414,0.14634146341463414
8,0.375,0.125,0.5,4,0.375,8,0.3333333333333333,12,0.375,16,0.35,20,0.3333333333333333,24,0.35714285714285715,28,0.40625,32,0.42857142857142855,35,0.39473684210526316,38,8,0.34146341463414637,0.34146341463414637
9,0.25,0.0,0.3333333333333333,6,0.5,12,0.5294117647058824,17,0.5714285714285714,21,0.56,25,0.5357142857142857,28,0.4838709677419355,31,0.47058823529411764,34,0.4864864864864865,37,0.5,40,12,0.2682926829268293,0.2682926829268293
10,0.6,0.3,0.4,5,0.4,10,0.4,15,0.5,20,0.56,25,0.6,30,0.6571428571428571,35,0.575,40,0.6,45,0.5918367346938775,49,10,0.5121951219512195,0.5121951219512195
11,0.6,0.4,0.6,5,0.6,10,0.6,15,0.5789473684210527,19,0.5217391304347826,23,0.48148148148148145,27,0.5161290322580645,31,0.5294117647058824,34,0.5405405405405406,37,0.575,40,10,0.4878048780487805,0.4878048780487805
12,0.125,0.0,0.75,4,0.625,8,0.5833333333333334,12,0.5625,16,0.55,20,0.4583333333333333,24,0.4074074074074074,27,0.43333333333333335,30,0.45454545454545453,33,0.4444444444444444,36,8,0.21951219512195122,0.21951219512195122
13,0.3,0.3,0.2,5,0.2,10,0.2,15,0.2,20,0.2,25,0.23333333333333334,30,0.2857142857142857,35,0.275,40,0.2727272727272727,44,0.2916666666666667,48,10,0.3170731707317073,0.3170731707317073
14,0.4,0.3,0.6,5,0.5,10,0.4,15,0.47368421052631576,19,0.5217391304347826,23,0.48148148148148145,27,0.5161290322580645,31,0.5142857142857142,35,0.48717948717948717,39,0.4523809523809524,42,10,0.36585365853658536,0.36585365853658536
